,x
166,"“Fuck Kraut for doxing.”
&gt;Doxes on livestream 
“Fuck people who hide behind blockbots”
&gt;Uses a blockbot 
“Fuck Tonka for gay ops.”
Ops found to be a Rari produced lie
If Warski keeps going he’s gonna wind up going 100-0 in backfiring before his fight with @Tonkasaw OOF https://t.co/gfoo9rN8vf"
167,"<U+0001F1F3><U+0001F1F1>Netherlands: 'Dutch gov't called to apologize for abuse of WWII ""kraut girls""'

https://t.co/KZD6dunJHr"
168,@Steve2c @CeruleanGates I’ve never done kraut on a dog. Only on a bratwurst. But I may hafta try it
169,"Chicken Salad, Potato Vindaloo and NEW Kraut! Menu's Up. - https://t.co/HCwKOBul1v"
170,Here is the stream we did first when we first played it live on air. Zephanorion joins me and it is quite entertaining to hear us finally let out everything we wanted to say to kraut.  https://t.co/EgIJOMv2xh
171,Recording with text notes only Kraut and Lizz Discord Recording on 8-7-2018: https://t.co/h0pEJfQQg5 via @YouTube
172,CIA: Central Investigative Autism (Kraut Division) Discord Recording on 8-7-2018: https://t.co/FQfvvs7EJS via @YouTube
173,Kielbasa and kraut; witches and whiskey; coffee and cheese are part of the food scene - Pittsburgh Post-Gazette https://t.co/5o4jFgtPNb https://t.co/X0YYbWIDPN
174,"@LATiffani1 Good idea. Feinstein, Schumer, Chelsea, Chris, Lemonhead, DiBlasio
Anyone? Now wld be a gd time 2jump on ths bandwagon. If I have to hear abt this BS stunt, akin to a science project, more than I hve to, I am going to lose it<U+0001F620> i nd"
175,And then they had Lemonhead out on the street pretending it was a dangerous situation. The only thing missing was the wind machine. https://t.co/4CXpgi17IH
176,Bettin Lemonhead’s hubs is pissed about that. https://t.co/TrlXQGezh5
177,@KenFowler18 @DailyCaller Lemonhead likes white meat.
178,@CNNTonight @donlemon Lemonhead didn’t say the same when the Bernie Sanders supporter attempted to assassinate Steve Scalise. So pathetic.
179,"Oh look, its @donlemon lemonhead and a member of the @ChrisCuomo @CuomoPrimeTime Crime Family waxing poetically again. https://t.co/ZudSm8aywr"
180,"@peterjhasson He was just whispering what his definition of ""nationalism"" is so Lemonhead could stay on par lolol"
181,"Umm why is this newsworthy Don Lemonhead??

Shouldn't EVERY leader of the United States be a nationalist?? Or do you not know what that means. It's pretty terrifying you are trying to make this into something bad... you're lucky conservatives are 100% FOR free speech #VoteRed https://t.co/HeKqRJU0rw"
182,@CNNTonight @ChrisCuomo @donlemon This from fnns token cuomo re.r end kisser lemonhead. Hes a reverse racist bigot fnn &amp; its entire staff of race baiting HATERS have beem had The hate they spew on a daily basis is why no 1 likes them its why theyre th
183,@donlemon @CNN Don Lemonhead is a RACIST!
184,@Heather_Poole Damn leprechaun. No wonder lucky charms is addicting
185,Ohhh nah...Rivers should’ve mushed that little 3 point shooting light skin leprechaun
186,"@CNN St Patrick's day I hope no one goes out dressed like a leprechaun, wear a red wig  or say Top of the morning in an Irish brogue.  Lol. I mean seriously are ppl so sensitive now.  BTW I'm Irish and we could care less. It's a bit of crack. Obviously al"
187,"A List Of Old Scary Movies
Nightmare on Elm St (1984)
Pumpkin Head 1&amp;2
Exorcist (1973)
The Howling (1981)
 The Leprechaun (1993)
Child Play
The Thing
IT
The Shining 
Hellraiser 

#scarymovie @SYFY
@AMC_TV"
188,@carolmswain Well I sure hope I don’t see any of those liberal do-gooders dressed up as a leprechaun on St. Patrick’s Day.
189,"Treasure Dabbing Leprechaun St Patricks Day Christmas shirt, sweat shirt, hoodie https://t.co/gRmhqAsqXV https://t.co/idjiDByzwp"
190,"@WayneDupreeShow I was going to be a leprechaun. But I didn't want to offend Irish people, short people, red head people.  Decided I will go as a white deplorable"
191,"There’s a better chance of a ‘Leprechaun remake from Hollywood than winning the Mega Million Lottery. 
C’mon 3 34 12 23 66 15!"
192,"@VirginMediaIE @leprechaun_ie You guys haven't been in Ireland long, have you?...<U+0001F615>"
193,@WORLDSTAR The first Leprechaun
194,@Barxdeel aziz rejoint mon club en tant que groupie de leroy personne te juge ici on te comprend
195,"Section 1201 rule making is always important, protecting our constitutional rights in digital works...looking forward to reading the details. https://t.co/puLikswymv"
196,"I’ve already started Christmas shopping, Santa was good to Leroy <U+0001F602>"
197,"1857 Leroy Bonse Dr, El Paso, TX 79936 - MLS #755209: https://t.co/AjMuVB6nbw via @YouTube"
198,I liked a @YouTube video https://t.co/k5xkWgJwK9 How to Write Characters of Other Races #Preptober2018
199,I liked a @YouTube video https://t.co/jj4ovrUlFN Best Places to Write During NaNoWriMo #Preptober2018
200,[IE] Riverside Leroy Rd / Temescal Canyon Rd **Trfc Collision-Unkn Inj** https://t.co/pKTbhT5x7y
201,The buzzards are having a convention outside. What's up with this? https://t.co/IUk73d3v1O
202,"I work with older BLACK men who assume ""nationalist"" means patriotism...in this culture...from that source...yeah ard Mr 'Leroy'...you sir are NOT INCLUDED in Trumps ""patriotism"""
203,@MariaMaquillage @lianabracero @KathyG4911 @ChallengeMTV But you also knew what she said when they when to Leroy in an interview room and him saying woah.
204,@Haddad_Fernando Quero ver vc levar 3 milhões na paulista..aí digo que vc é bom
205,"Hoje será o debate do Paes , a partir de amanhã quem falar comigo de política vai levar um tapa na cara chega chega!"
206,Os comentários na foto da Gleici são os mais escrotos possíveis “Se o PT é tão bom porque você precisou ir pro BBB?” A alienação das pessoas vai nos levar pra esse abismo sem fim
207,Adicionei um vídeo a uma playlist @YouTube https://t.co/lGRRsSlNdL QUE LEVAR NA MALA MATERNIDADE DO BEBÊ? ARRUMANDO AS ROUPAS MAIS
208,"@vanuzavandeste Farto de levar cotoveladas, desiste"
209,"Voce ta pagando um preço muito caro pra não levar o produto pra casa, e não tem nada haver com dinheiro. Acorda pra vida, “levanta a cabeça e luta pelo seu futuro meu filho”"
210,“Digam lá se isto é mesmo para levar a sério” https://t.co/TG6GG17Gw8 https://t.co/OSqXjwEqYP
211,n da pra levar a serio quem vota no troço
212,"Esta reação tóxica ocorre especialmente em cães geneticamente hipersensíveis à ivermectina, uma medicação antiparasitária mais comumente usada para prevenção de dirofilariose, ou para tratar ácaros da orelha e do cabelo, que podem levar à sarna. A ivermectina previ ..."
213,@matheusesouza @viniciusof Será que a galera aceitaria um jogador da Série B? Podia levar o Guga
214,"@danielandlucya1 @SyanFennec Man, everyone has a badge......but me!"
215,"@TimusTheFox I've never made a thumbnail before! I wish I can try, but I'm not sure I'll do good at it!"
216,@Rukario71 Do you mean @/Melvis_Barksy?
217,"@bluehuskybutt I doubt the crush messaging part will happen! But the other two, yes! Thx"
218,"@RaiHusky That's me, except not on a radio, but on YouTube videos when I watch a video with a good song and I forgot what the video's called days later since I always clear my history!"
219,"@danielandlucya1 Yeah, and we all love it just the way it looks on you!"
220,"@DarrenViolette @PSchrags @Nate13Burleson @heykayadams @KyleBrandt that's good too. How about The London Limeys(don't shoot the messenger, my British friends)? I don't even know what a ""limey"" is."
221,@qikipedia https://t.co/SrAguzQhn5
222,"@lost_limey It's sort of a guttural, almost Germanic sound: scccch-is"
223,@lost_limey Sis
224,@jpactor1 “My Mammy” was written in 1918 and performed by Al Jolson in 1927 in THE JAZZ SINGER. We’re not even 100 full years removed from that crap. Also...I still remember the abomination that was SOUL MAN...&amp; that was 1986...?
225,@MaxineWaters my dear mammy...get a grip!! You started this whole thing 2 years ago and you are to blame for all the hate around us!!
226,"@K_Kibbee However, and I'm learning this in my writing, the word mammy might get you dinged by more than a few. I like the word as it describes quickly what we have, it's authentic. But, some take offense. 
That said, I love this #Downhome piece. https:/"
227,"I really do take after my wee mammy as she is a hoarder of stuff &amp; this has rubbed off on me also.  There is a small treasure chest of stuff in this hoose, 15inch computer screen, brand new speakers, plus many more things.  Car boot sale?  What do people suggest &amp; open for anythg"
228,"Ra-lute to my precious mammy Ena Quan ..
Ra-lute to my 1st son mammy Angela Budd..
Ra-lute to my 2nd son mammy Kim Valentine..
You are to me all that a womban can be!!
<U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD> https://t.co/ueL9W83AJm"
229,218 Mammy bout to hear my mouth old hoe stay in your lane
230,"My Mammy has boarded her flight and is on her way to Canada, she’s had her hair done this morning and is in a new rigout  ......Old School #IrishMammy #JetSetter"
231,@kevinbrennan666 @RichRippin Mammy!!!
232,@Ekbalco Or think that since Mammy got them in the door they don't need to work (applies to all ages)
233,@megynkelly I'd walk a million miles for one of your smiles. #Jolson #Mammy #BlackfaceBad https://t.co/XD7ZS0gCwI
234,@FRED_NlCE @JillKassidyy Would you like to shoot with mandingo again? @jillkassidyyy
235,@JulesJordan @KissaSins @iamjasonluv Jules please pair her with Mandingo again. what do you think Kissa? @KissaSins @JulesJordan
236,@treg5252 @JulesJordan @KissaSins @iamjasonluv The best BBC is Mandingo
237,"Even simple, everyday interactions are valuable experiences. P... More for Scorpio https://t.co/j4CG1ZRBTI"
238,@chels_janae lmao I’m jus now realizing u said grillssss instead of GIRLS<U+0001F62D><U+0001F602><U+0001F62D><U+0001F602><U+0001F62D>
239,That snoop dogg song living my best lifeeee hit me hard <U+0001F602>
240,Ok goodnight bc I feel the extra ness coming outta my veins <U+0001F602>
241,"When Snoop Dogg CHORUS said .. “living my best life .. ain’t going back &amp; forth w. u niggas .. “ 
I FELT THAT <U+0001F62D>"
242,art and craft ideas for adults adults sexual mandingo fucks white girl beach nudes 3d ass hot vaginal sex  https://t.co/dqE4OawZdf
243,@Mandingo_rd12 Que rico
244,"@eBoPeep Exactly. Just because on my maternal line someone was Fula living in Guinnea-Bissau, Mende living Sierra Leone and Mandinka living in Senegal does not mean that I can go over there claiming to be ONE of them.. I'd get laughed out of there."
245,Sinéad O'Connor - Mandinka (lyrics on screen) https://t.co/r11lZWLXS4 via @YouTube
246,"Surprises are so sweet! Especially when your Mandinka Warrior plans the event<U+0001F496> Thank you for loving me as your 'Nubian Queen<U+0001F451><U+0001F382><U+0001F388><U+0001F381><U+0001F379><U+0001F496>Thank God for YOU!<U+0001F607><U+0001F607><U+0001F607> Loving You!<U+0001F60D> @ Grand Prairie, Texas https://t.co/90jijIFTOW"
247,Depression in Mandinka (Gambian dialect) https://t.co/RT60Z6VpWR
248,Symptoms of Depression in Mandinka. https://t.co/Gvnf5P4EVh
249,I’ve been speaking Mandinka a lot more to the point where I slip up to people that don’t even understand it. <U+0001F602><U+0001F926><U+0001F3FF><U+200D><U+2640><U+FE0F>
250,Sinéad O'Connor Mandinka - Now Playing https://t.co/BW8WR4x1KF
251,Sinéad O'Connor Mandinka - Now Playing https://t.co/BW8WR4x1KF
252,"Here’s a song for you… Mandinka by Sinéad O'Connor
https://t.co/FM7h3t9Tp6"
253,"@masseberg Japp. Och budgeten är alltid riksdagens. Regeringen är inte högsta beslutande organ, utan genomför bara av riksdagen tagna beslut. Regeringen är endast exekutiv, förvaltande.

Det är en oerhörd massa trams från de rödgröna just nu - som media"
254,acabei de comer uma massa crua eu vo morre
255,#BolsonaroAnticristo METRALHAR UMA COMUNIDADE COMO A ROCINHA (UMA COMUNIDADE DO RIO DE JANEIRO-BRASIL ONDE VIVEM MAIS DE 70000 PESSOAS) É EXTERMÍNIO EM MASSA https://t.co/Mkv3sLLJy6
256,@Agenzia_Ansa Appena ha parlato lo spread è risalito peontamente... sono una massa concatenata.. c'è solo una cosa da fare.
257,"@YgorDM Faz isso, tu vai ver que é massa."
258,"@NimaDervish Förstår inte varför de sätter på sig slöja och sedan lägger massa krut på att måla ögonen, göra läpparna stora och röda och allt vad det signalerar. Det är något som inte går ihop riktigt. Förklara gärna, för jag förstår det då inte."
259,@D_Swirls Massa massa chop your jollof for there <U+0001F602><U+0001F602><U+0001F480><U+0001F480><U+0001F480><U+0001F480>
260,Cascaria esse filme kkkkkkkk boladao ainda da massa <U+0001F525><U+0001F602><U+0001F9D0>
261,@_LAERTO @TrumpThatcher @Haddad_Fernando Que massa
262,@ShitShowerShave But yo go on ahead and run to massa
263,This a McGangBang. Idc what any of y’all “McChigger” fans say https://t.co/Q7M1ZFA4xz
264,For those who know... @cascadebrewing #oldheads #teampreston @ McKraut Brewing Co. https://t.co/V2brfiCrJc
265,Issa McNigga https://t.co/cuh9NpMQFY
266,@1Mackology @Ay_E_IOU @han4prezzz @maddiesmithmm @spookyfeelz @mike1408 @oskiepus @ckolavo @OG_R3WiiND @seven8tae my bad my mcnigga
267,@JJKlown In the pic it looks like she's got ketchup on her McNugget container. Ketchup on chicken nuggets is a no-go
268,"McNugget

El meu menjar favorit"
269,"I’m really proud of my friends and I on our pumpkins (Boo, Mike wazowski, groot, a cat, and scary pumpkin) https://t.co/AAjz7thmng"
270,@omar_banuelos21 @ManuelBanuelo10 Uhhh no homo
271,"@Andywarski @vampkandy If you do a flying armbar, i’ll Send you like a 20 piece McNugget."
272,@Ricky_Mcnugget @ManuelBanuelo10 Y'all gay for opening it
273,"@McDonalds Oh yeah. You know how people say “you are what you eat”? 

If that’s the case then I am a McNugget <U+0001F917>"
274,"I could fuck up an entire Papa Johns Pizza, a Taco Bell crunchwrap supreme and nacho belgrande, a 10pc McNugget, two McChickens, McFries, a strawberry milkshake from WaWa, a dozen Dunkin donuts, an entire pint of Ben and Jerrys Cookie Dough ice cream, + a chicken tender PubSub rn"
275,"Controversial opinion: the chicken McNugget is the best item at McDonald’s. Very close second, fries."
276,It’s so hard to concentrate on painting when you got a silly little McNugget trying to “catch shadows” under your work chair .... #vchampionart #artist #painting #imtryingtoworkhere… https://t.co/mUo0pRQfqi
277,Not flex on anyone who doesn’t have any volume. But my Mexican ass has a lot of fucking hair. How do I get LESS volume? I want flat fucking hair!
278,@stucam7771 @PDreams4ever What?  You don't think it'll be a black Mexican socialist woman from Saudi Arabia
279,"Trump hasn’t delivered on his agenda anyway. Where’s the Mexican money for th e wall? Where,s the wall? Where’s anything except b.s.? https://t.co/1u7OGH8kfC"
280,"@ratrage @nytimes @realDonaldTrump So, it isn't the Kremlin, a Muslim, or some Mexican or other foreigner living in a shithole?"
